,error_angle_mean,error_angle_median,error_angle_std,N,k,n,kappa_within_site,site_lat,outlier_rate,ignore_outliers,site_long
0,6.1342222067468155,5.4924790519783,3.7625325140243584,112,16,7,50,30,0.0,False,0
0,6.023300155644592,5.321888520471276,3.676284692600849,119,17,7,50,30,0.0,False,0
0,6.015060609701539,5.38370477853136,3.590859043482193,126,18,7,50,30,0.0,False,0
0,6.060481970924191,5.41520534811729,3.6413242245051705,133,19,7,50,30,0.0,False,0
0,6.049405720884496,5.290757254504108,3.7086947347887724,140,20,7,50,30,0.0,False,0
0,6.077022727000767,5.411118345612628,3.6404445099132023,147,21,7,50,30,0.0,False,0
0,6.061021191912727,5.41655581613864,3.6064550723784676,154,22,7,50,30,0.0,False,0
0,6.0970650807410145,5.412975033486035,3.672765214214864,161,23,7,50,30,0.0,False,0
0,6.025566193722823,5.390467811198683,3.604482218843912,168,24,7,50,30,0.0,False,0
0,6.033662387778847,5.394820773086934,3.6086583327404544,175,25,7,50,30,0.0,False,0
0,6.0906377576587545,5.400424539321698,3.7362228813333163,182,26,7,50,30,0.0,False,0
0,6.0839101383774,5.402436217552562,3.7132591598815545,189,27,7,50,30,0.0,False,0
0,6.072915827320686,5.514468003383328,3.531572869559742,196,28,7,50,30,0.0,False,0
0,6.915324636704639,6.321771642318041,3.9631062198465155,8,1,8,50,30,0.0,False,0
0,6.273903021000685,5.682857780698704,3.5690743746526197,16,2,8,50,30,0.0,False,0
0,6.067945238458538,5.415119861303232,3.5547043219660823,24,3,8,50,30,0.0,False,0
0,6.0061013632733165,5.428894490627165,3.495573919224884,32,4,8,50,30,0.0,False,0
0,5.893963629361035,5.359401648859411,3.3522444325879106,40,5,8,50,30,0.0,False,0
0,5.92366544351354,5.359040935228165,3.5296191368334884,48,6,8,50,30,0.0,False,0
0,5.851299080620283,5.230888905406445,3.4554039937568835,56,7,8,50,30,0.0,False,0
0,5.872885118515336,5.310597471492514,3.414261925659226,64,8,8,50,30,0.0,False,0
0,5.843862176026142,5.2410723405430915,3.405767861137098,72,9,8,50,30,0.0,False,0
0,5.791874754008708,5.186490043942534,3.43685794874524,80,10,8,50,30,0.0,False,0
0,5.790679911931304,5.252630400153343,3.358218558758456,88,11,8,50,30,0.0,False,0
0,5.681353495026362,5.101090999352017,3.353710174342717,96,12,8,50,30,0.0,False,0
0,5.673197569526046,5.14265949129701,3.3595681496519507,104,13,8,50,30,0.0,False,0
0,5.7015001632218265,5.156425685841263,3.326695803162392,112,14,8,50,30,0.0,False,0
0,5.777684270975733,5.190652142650762,3.425463941257208,120,15,8,50,30,0.0,False,0
0,5.575319330676351,5.037729416878612,3.2730988639336354,128,16,8,50,30,0.0,False,0
0,5.689332600252061,5.149007246604789,3.3574087165563293,136,17,8,50,30,0.0,False,0
0,5.754447922851124,5.18244811747762,3.4002768647413504,144,18,8,50,30,0.0,False,0
0,5.743391633791195,5.124450226381121,3.3640799232899528,152,19,8,50,30,0.0,False,0
0,5.668460382466252,5.103388734683392,3.3351303286086083,160,20,8,50,30,0.0,False,0
0,5.668039552098997,5.075569886336844,3.3923226132433024,168,21,8,50,30,0.0,False,0
0,5.681035295175893,5.12924022350429,3.373216207264504,176,22,8,50,30,0.0,False,0
0,5.6683080309441705,5.150888621714586,3.301668004482989,184,23,8,50,30,0.0,False,0
0,5.781286532388907,5.194742527295801,3.4031846907379877,192,24,8,50,30,0.0,False,0
0,6.662714461020794,6.090439965299446,3.631883698534063,9,1,9,50,30,0.0,False,0
0,6.019011228380382,5.441248800525763,3.405270728292065,18,2,9,50,30,0.0,False,0
0,5.77100304861169,5.234543556205125,3.3095994357232765,27,3,9,50,30,0.0,False,0
0,5.758258800466827,5.330192905065701,3.2132020965094057,36,4,9,50,30,0.0,False,0
0,5.579587811961863,5.018506295208439,3.266198751901793,45,5,9,50,30,0.0,False,0
0,5.478568631427287,4.996711430920243,3.18095195614419,54,6,9,50,30,0.0,False,0
0,5.554606362582175,5.049064005754218,3.137731191141854,63,7,9,50,30,0.0,False,0
0,5.5767194228406956,5.110071983460635,3.1605238729619374,72,8,9,50,30,0.0,False,0
0,5.4450033046226105,4.870758120528883,3.1459935635077274,81,9,9,50,30,0.0,False,0
0,5.445475612908999,4.961121242025712,3.138486997701418,90,10,9,50,30,0.0,False,0
0,5.4884305620664815,4.956443447514992,3.2080563584685495,99,11,9,50,30,0.0,False,0
0,5.45913007925916,4.980492773795568,3.1182301262033767,108,12,9,50,30,0.0,False,0
0,5.403552619204278,4.968467657930319,3.0587656389185685,117,13,9,50,30,0.0,False,0
0,5.425538926484718,4.954644215350463,3.1477134125968367,126,14,9,50,30,0.0,False,0
0,5.371156540494201,4.896997981468225,3.1040911000188087,135,15,9,50,30,0.0,False,0
0,5.473435390810837,4.957034625301574,3.14044830493942,144,16,9,50,30,0.0,False,0
0,5.40679276416457,4.85912746964911,3.192735550834302,153,17,9,50,30,0.0,False,0
0,5.410036836583165,4.811114666716755,3.179401701438581,162,18,9,50,30,0.0,False,0
0,5.414738720694118,4.918402728883919,3.1238019970231483,171,19,9,50,30,0.0,False,0
0,5.333440403734458,4.78722069983823,3.131986220485457,180,20,9,50,30,0.0,False,0
0,5.274131206522351,4.79656975794304,3.09008109658962,189,21,9,50,30,0.0,False,0
0,5.380890209312069,4.883539311716611,3.1158078350070078,198,22,9,50,30,0.0,False,0
0,6.312711705994505,5.866457455801758,3.4799738190047798,10,1,10,50,30,0.0,False,0
0,5.6969459721503055,5.2478172994766155,3.280859772708087,20,2,10,50,30,0.0,False,0
