,plong,plat,total_samples,samples_per_sites,error_angle
158,203.75109889720235,89.42897077656365,40.0,[1.],0.571029223436355
159,142.08674108594738,85.23221557582636,40.0,[1.],4.767784424173641
160,109.52155322324033,84.86117230967426,40.0,[1.],5.138827690325741
161,271.27450613003384,87.55019616991017,40.0,[1.],2.4498038300898344
162,47.5993618627591,85.17062813952215,40.0,[1.],4.829371860477849
163,75.87578649198528,84.18593394231226,40.0,[1.],5.814066057687739
164,298.11782711373706,87.98093147104262,40.0,[1.],2.0190685289573764
165,319.0988825110853,86.15326726370627,40.0,[1.],3.846732736293731
166,93.6340667859424,87.46460192370172,40.0,[1.],2.5353980762982786
167,186.63578120151374,88.35972575124416,40.0,[1.],1.6402742487558442
168,232.73836979093363,87.83696498962792,40.0,[1.],2.1630350103720843
169,276.4672740793461,87.94451973365861,40.0,[1.],2.055480266341391
170,92.84704682373724,85.29535679994451,40.0,[1.],4.704643200055486
171,134.22578104193596,84.72570233400693,40.0,[1.],5.274297665993075
172,356.5759367333686,86.6541313854949,40.0,[1.],3.3458686145050933
173,122.96856986300965,88.09642698147664,40.0,[1.],1.9035730185233604
174,242.7085942649682,86.93246763120946,40.0,[1.],3.0675323687905376
175,344.50618625374204,88.74450409190472,40.0,[1.],1.255495908095284
176,304.15115141488656,86.3758129207882,40.0,[1.],3.6241870792117936
177,95.50031149610552,87.8155521318079,40.0,[1.],2.1844478681920947
178,23.10805017530996,88.44740013943063,40.0,[1.],1.552599860569373
