,error_angle_mean,error_angle_median,error_angle_95,error_angle_std,n_tot,n,k,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers
0,3.3342359989702643,3.1200739468280645,6.49870332440538,1.7098775000593116,50,10,5,80,10,0.0,0.15000000000000002,G,,True
0,2.960125898911715,2.7689397720305067,5.820937962141254,1.6211296286716754,50,50,1,20,20,0.0,0.0,G,,False
0,5.018227068675836,4.733435693278956,9.823998373789166,2.630683247381077,50,10,5,50,40,0.0,0.0,G,,True
0,5.848196314017905,5.396285962853895,12.230606544765152,3.303869937141852,50,50,1,30,40,0.0,0.25,G,,False
0,3.080447940357708,2.823461046671234,6.271624343314101,1.7340475268429727,50,50,1,90,0,0.0,0.15000000000000002,G,,False
0,7.275127567203497,7.04468311663144,13.70944790598654,3.7033958303414978,50,10,5,80,80,0.0,0.05,G,,True
0,2.4008604081009075,2.223213747326824,4.931554172682043,1.2767304986772854,50,50,1,60,30,0.0,0.0,G,,False
0,3.8147079239772634,3.5229237893495267,7.443398652217049,1.9654086811192573,50,10,5,90,10,0.0,0.6000000000000001,G,,True
0,7.644898505915276,7.023749583999333,15.361378793146386,4.178604351631187,50,50,1,40,50,0.0,0.35000000000000003,G,,False
0,8.911727718393264,8.263772972544494,17.458292728815348,4.7825413889829695,50,10,5,30,80,0.0,0.55,G,,True
